,ds,y,m=1,m=6,m=12,m=24,m=36
1,01/01/1960,0.70,,,,,
2,01/02/1960,0.69,,,,,
3,01/03/1960,0.69,,,,,
4,01/04/1960,0.68,,,,,
5,01/05/1960,0.69,,,,,
6,01/06/1960,0.70,,,,,
7,01/07/1960,0.69,,,,,
8,01/08/1960,0.70,,,,,
9,01/09/1960,0.70,,,,,
10,01/10/1960,0.71,,,,,
11,01/11/1960,0.71,,,,,
12,01/12/1960,0.70,,,,,
13,01/01/1961,0.68,,,,,
14,01/02/1961,0.68,,,,,
15,01/03/1961,0.67,,,,,
16,01/04/1961,0.66,,,,,
17,01/05/1961,0.66,,,,,
18,01/06/1961,0.67,,,,,
19,01/07/1961,0.67,,,,,
20,01/08/1961,0.67,,,,,
21,01/09/1961,0.67,,,,,
22,01/10/1961,0.67,,,,,
23,01/11/1961,0.67,,,,,
24,01/12/1961,0.67,,,,,
25,01/01/1962,0.67,,,,,
26,01/02/1962,0.67,,,,,
27,01/03/1962,0.67,,,,,
28,01/04/1962,0.67,,,,,
29,01/05/1962,0.67,,,,,
30,01/06/1962,0.67,,,,,
31,01/07/1962,0.68,,,,,
32,01/08/1962,0.68,,,,,
33,01/09/1962,0.69,,,,,
34,01/10/1962,0.69,,,,,
35,01/11/1962,0.69,,,,,
36,01/12/1962,0.72,,,,,
37,01/01/1963,0.65,,,,,
38,01/02/1963,0.61,,,,,
39,01/03/1963,0.62,,,,,
40,01/04/1963,0.62,,,,,
41,01/05/1963,0.61,,,,,
42,01/06/1963,0.61,,,,,
43,01/07/1963,0.62,,,,,
44,01/08/1963,0.61,,,,,
45,01/09/1963,0.62,,,,,
46,01/10/1963,0.63,,,,,
47,01/11/1963,0.63,,,,,
48,01/12/1963,0.65,,,,,
49,01/01/1964,0.70,,,,,
50,01/02/1964,0.72,,,,,
51,01/03/1964,0.78,,,,,
52,01/04/1964,0.82,,,,,
53,01/05/1964,0.83,,,,,
54,01/06/1964,0.85,,,,,
55,01/07/1964,0.82,,,,,
56,01/08/1964,0.82,,,,,
57,01/09/1964,0.79,,,,,
58,01/10/1964,0.77,,,,,
59,01/11/1964,0.79,,,,,
60,01/12/1964,0.76,,,,,
61,01/01/1965,0.63,,,,,
62,01/02/1965,0.64,,,,,
63,01/03/1965,0.58,,,,,
64,01/04/1965,0.55,,,,,
65,01/05/1965,0.49,,,,,
66,01/06/1965,0.61,,,,,
67,01/07/1965,0.72,,,,,
68,01/08/1965,0.79,,,,,
69,01/09/1965,0.78,,,,,
70,01/10/1965,0.81,,,,,
71,01/11/1965,0.76,,,,,
72,01/12/1965,0.79,,,,,
73,01/01/1966,0.80,,,,,
74,01/02/1966,0.76,,,,,
75,01/03/1966,0.74,,,,,
76,01/04/1966,0.76,,,,,
77,01/05/1966,0.77,,,,,
78,01/06/1966,0.74,,,,,
79,01/07/1966,0.73,,,,,
80,01/08/1966,0.72,,,,,
81,01/09/1966,0.70,,,,,
82,01/10/1966,0.72,,,,,
83,01/11/1966,0.72,,,,,
84,01/12/1966,0.72,,,,,
85,01/01/1967,0.71,,,,,
86,01/02/1967,0.73,,,,,
87,01/03/1967,0.73,,,,,
88,01/04/1967,0.75,,,,,
89,01/05/1967,0.77,,,,,
90,01/06/1967,0.78,,,,,
91,01/07/1967,0.74,,,,,
92,01/08/1967,0.72,,,,,
93,01/09/1967,0.72,,,,,
94,01/10/1967,0.73,,,,,
95,01/11/1967,0.75,,,,,
96,01/12/1967,0.75,,,,,
97,01/01/1968,0.76,,,,,
98,01/02/1968,0.76,,,,,
99,01/03/1968,0.75,,,,,
100,01/04/1968,0.75,,,,,
101,01/05/1968,0.76,,,,,
102,01/06/1968,0.76,,,,,
103,01/07/1968,0.75,,,,,
104,01/08/1968,0.75,,,,,
105,01/09/1968,0.75,,,,,
106,01/10/1968,0.74,,,,,
107,01/11/1968,0.72,,,,,
108,01/12/1968,0.71,,,,,
109,01/01/1969,0.71,,,,,
110,01/02/1969,0.71,,,,,
111,01/03/1969,0.69,,,,,
112,01/04/1969,0.66,,,,,
113,01/05/1969,0.65,,,,,
114,01/06/1969,0.68,,,,,
115,01/07/1969,0.69,,,,,
116,01/08/1969,0.72,,,,,
117,01/09/1969,0.76,,,,,
118,01/10/1969,0.85,,,,,
119,01/11/1969,0.82,,,,,
120,01/12/1969,0.83,,,,,
121,01/01/1970,0.86,,,,,
122,01/02/1970,0.85,,,,,
123,01/03/1970,0.87,,,,,
124,01/04/1970,0.91,,,,,
125,01/05/1970,0.94,,,,,
126,01/06/1970,0.93,,,,,
127,01/07/1970,0.94,,,,,
128,01/08/1970,0.94,,,,,
129,01/09/1970,0.94,,,,,
130,01/10/1970,0.94,,,,,
131,01/11/1970,0.92,,,,,
132,01/12/1970,0.92,,,,,
133,01/01/1971,0.93,,,,,
134,01/02/1971,0.93,,,,,
135,01/03/1971,0.94,,,,,
136,01/04/1971,0.94,,,,,
137,01/05/1971,0.94,,,,,
138,01/06/1971,0.93,,,,,
139,01/07/1971,0.93,,,,,
140,01/08/1971,0.93,,,,,
141,01/09/1971,0.92,,,,,
142,01/10/1971,0.92,,,,,
143,01/11/1971,0.93,,,,,
144,01/12/1971,0.94,,,,,
145,01/01/1972,0.93,,,,,
146,01/02/1972,0.93,,,,,
147,01/03/1972,0.95,,,,,
148,01/04/1972,0.96,,,,,
149,01/05/1972,0.96,,,,,
150,01/06/1972,0.96,,,,,
151,01/07/1972,1.04,,,,,
152,01/08/1972,1.04,,,,,
153,01/09/1972,1.03,,,,,
154,01/10/1972,1.04,,,,,
155,01/11/1972,1.04,,,,,
156,01/12/1972,1.05,,,,,
157,01/01/1973,1.05,,,,,
158,01/02/1973,1.09,,,,,
159,01/03/1973,1.11,,,,,
160,01/04/1973,1.08,,,,,
161,01/05/1973,1.07,,,,,
162,01/06/1973,1.08,,,,,
163,01/07/1973,1.06,,,,,
